time,callsign,x,vx,y,vy,z,vz
130.0,TARGET_001,28568.893260499917,217.7512355190443,10340.404976347825,79.45940235186251,8340.44649166724,1.4796882912582459
131.0,TARGET_001,28786.741847679023,217.75907746382853,10419.89089698555,79.69772749002715,8341.76681375082,1.2065840740500702
132.0,TARGET_001,29004.366895179537,217.61924508274316,10499.57409099892,79.5404111566104,8343.02090584358,1.2716221856109522
133.0,TARGET_001,29221.97952072485,217.4246933737737,10578.874927384786,78.94883670400664,8344.455627428952,1.5030697198564669
134.0,TARGET_001,29439.05397698025,216.79079521686106,10658.065161587943,79.26367380219922,8345.830612440877,1.290507992298787
135.0,TARGET_001,29656.083339600365,217.11222074341606,10737.363563120705,79.08129922993348,8347.141840321568,1.2951225013557957
136.0,TARGET_001,29873.182515983463,216.9067622676314,10816.262508607408,78.93025227742808,8348.421744318577,1.252468267390236
137.0,TARGET_001,30090.163559331017,216.89499472496092,10895.327859752777,79.08597302960536,8349.500139162374,1.0616894365247729
138.0,TARGET_001,30306.97416275579,217.03673383554622,10974.437094949142,79.21552018702292,8350.522323261954,0.9605579207311863
139.0,TARGET_001,30524.053209491434,216.9009039038369,11053.731793632156,79.53975690424616,8351.589010916652,1.1256985004347164
140.0,TARGET_001,30740.911142850233,216.89844851210174,11133.193385195798,79.40835998768777,8352.712883235572,1.1355946151501441
141.0,TARGET_001,30957.619867765483,216.66880355778576,11212.394341210678,79.20317437908173,8353.87127728056,1.1072661654662443
142.0,TARGET_001,31174.02385889658,216.21353979708002,11291.798042408698,79.31870645449997,8355.03995683184,1.1253986681160457
143.0,TARGET_001,31390.449392053975,216.5534366202604,11371.093369230239,79.10053547352244,8356.258592180828,1.206647391806099
144.0,TARGET_001,31607.049486262724,217.0006791476394,11450.312908628239,79.38983043243404,8357.34688189042,1.0408637669220282
145.0,TARGET_001,31824.160972076003,217.27718355897565,11529.615758155212,79.31841329616611,8358.48428531194,1.1472563796657562
146.0,TARGET_001,32041.517163349672,217.46634583657809,11609.183458363894,79.79734590428983,8359.826486916289,1.467863631138905
147.0,TARGET_001,32259.18242150082,217.75391440383586,11688.959040234824,79.78403453490384,8361.362958983918,1.5631616790113074
148.0,TARGET_001,32476.907635122032,217.88776087734394,11768.718534920921,79.79073716845058,8362.862113293324,1.4576035132984906
149.0,TARGET_001,32694.798887938676,217.78669911239524,11848.384396119776,79.4891263288416,8364.272363436237,1.2984434626199324
150.0,TARGET_001,32912.69038259086,218.11141002246256,11927.918535639645,79.58421222245356,8365.573083493387,1.3752126447753126
151.0,TARGET_001,33130.8381328097,217.96933641404567,12007.6213804657,79.80839034871596,8366.897518234666,1.2703662228362136
152.0,TARGET_001,33348.717052008455,217.72228815095653,12087.335306661704,79.69531126293994,8368.135540863188,1.1714266093978984
153.0,TARGET_001,33566.52210483807,217.79401209787264,12166.966299910611,79.6867614920891,8369.32183939983,1.1871981180754025
154.0,TARGET_001,33784.21864097423,217.53268673019656,12246.4552806281,79.11238700833972,8370.482542481099,1.0971019398109134
155.0,TARGET_001,34001.97965277573,217.99486632683713,12325.436501622573,79.02409287244883,8371.570402542966,0.8495817034198558
156.0,TARGET_001,34219.788661579834,217.76806091099144,12404.45566875367,78.92139853098864,8372.382839476342,0.7989091713719547
157.0,TARGET_001,34437.28941711043,217.54917847021184,12483.197485067065,78.42301147694748,8373.249222667515,0.7481136041870845
158.0,TARGET_001,34654.883025730465,217.63871555904925,12561.716331265336,78.71578720827983,8374.077073742714,0.8606227139404121
159.0,TARGET_001,34872.65887904522,217.93682687201053,12640.102986076932,78.38770726740465,8374.968732654715,1.0066480833611249
160.0,TARGET_001,35090.6546126035,217.96725197896995,12718.49838228613,78.42455645425242,8375.826600373453,0.6449554713399577
