event_type,time,label,sensor,local_track_id,source_map_track_id,source_d2_xy,source_gate_xy,source_d2_z,source_gate_z,source_xy_rejected,source_z_rejected,accepted_stage,assigned_global_track_id,created,revived
measurement,338.36,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,3.0207542442366613,16.014326314940615,0.23466668007221078,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,338.78,HEDEF_2,RADAR_A,RADAR_A-T2645,GT-0061,5.57120427199766,22.42005684091686,0.06274814374902543,16.265600372879273,False,False,source_map,GT-0061,False,False
measurement,338.89,HEDEF_3,RADAR_A,RADAR_A-T8025,,,,,,False,False,hungarian,GT-0031,False,False
measurement,339.12,HEDEF_4,RADAR_A,RADAR_A-T6832,,,,,,False,False,hungarian,GT-0017,False,False
measurement,339.12,HEDEF_5,RADAR_A,RADAR_A-T4302,GT-0004,0.957390019790816,22.42005684091686,2.201690606890434,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,339.95,HEDEF_1,RADAR_B,RADAR_B-T5732,,,,,,False,False,hungarian,GT-0052,False,False
measurement,339.95,HEDEF_5,RADAR_B,RADAR_B-T7049,GT-0004,0.8931435247464165,22.42005684091686,0.19382016253643294,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,340.88,HEDEF_3,RADAR_A,RADAR_A-T8025,GT-0031,1.085551241666141,16.014326314940615,0.1280811524879027,11.618285980628052,False,False,source_map,GT-0031,False,False
measurement,341.52,HEDEF_4,RADAR_A,RADAR_A-T6832,GT-0017,14.04006688463164,16.014326314940615,3.019096952829762,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,341.56,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,1.1096082274679058,22.42005684091686,0.15167622897303942,16.265600372879273,False,False,source_map,GT-0052,False,False
measurement,341.56,HEDEF_5,RADAR_A,RADAR_A-T4302,GT-0004,23.707396595295883,22.42005684091686,2.1846152166949593,16.265600372879273,True,False,create,GT-0078,True,False
measurement,341.61,HEDEF_2,RADAR_C,RADAR_C-T8523,,,,,,False,False,hungarian,GT-0061,False,False
