time,global_track_id,x,y,vx,vy,pos_sigma_m,fused_tq,prob,n_linked_sources
73.62,GT-0004,7489.938295530202,9836.75074806423,95.71929154195705,0.4060889033007676,39.67756674377567,14,0.987,4
73.62,GT-0148,6186.208397861392,13005.353189686404,59.95376731772699,78.90117271391222,39.68385772505143,14,0.878,4
74.02,GT-0004,7528.2260121469835,9836.913183625551,95.71929154195705,0.4060889033007676,39.67873166797913,14,0.958,4
74.02,GT-0148,6210.189904788482,13036.913658771968,59.95376731772699,78.90117271391222,39.698353645760896,14,0.852,4
74.32,GT-0004,7556.941799609571,9837.03501029654,95.71929154195705,0.4060889033007676,39.68173345604265,14,0.929,4
74.32,GT-0148,6250.552739488498,13029.93679350469,61.68618713636564,75.66473711169994,39.671293770327814,14,0.986,4
74.35,GT-0004,7559.81337835583,9837.047192963639,95.71929154195705,0.4060889033007676,39.68216429801526,14,0.901,4
74.35,GT-0148,6252.41226625696,13032.23641024967,61.686076190398865,75.66432249398515,39.69003933078425,14,0.989,4
75.05,GT-0004,7626.8168824352,9837.331455195948,95.71929154195705,0.4060889033007676,39.701168243817904,14,0.874,4
75.05,GT-0148,6295.592519590239,13085.201435995461,61.686076190398865,75.66432249398515,39.694616095921035,14,0.96,4
75.78,GT-0004,7696.659758884524,9837.589498909228,95.7154034013864,0.3975941637985194,39.75398265266029,14,0.983,4
75.78,GT-0148,6340.623355209231,13140.436391416071,61.686076190398865,75.66432249398515,39.7148727738511,14,0.931,4
76.04,GT-0004,7721.545763768885,9837.692873391816,95.7154034013864,0.3975941637985194,39.7776361083469,14,0.953,4
76.04,GT-0076,7265.598814521406,10103.739771891289,96.8557693278319,-0.5194593265052276,72.93525573543641,12,0.914,2
76.04,GT-0148,6356.661735018735,13160.109115264508,61.686076190398865,75.66432249398515,39.72772640796948,14,0.903,4
76.43,GT-0004,7758.874771095426,9837.847935115697,95.7154034013864,0.3975941637985194,39.822304364770105,14,0.925,4
76.43,GT-0076,7303.37256455926,10103.537182753951,96.8557693278319,-0.5194593265052276,73.29962792974185,12,0.887,2
76.43,GT-0148,6380.719304732991,13189.618201037161,61.686076190398865,75.66432249398515,39.7540182061389,14,0.876,4
76.43,GT-0175,6036.201361299101,13591.159476464822,64.47896429725972,77.89518229995645,91.97716591020604,11,0.885,1
76.78,GT-0004,7792.375162285911,9837.987093073027,95.7154034013864,0.3975941637985194,39.872833954420024,14,0.897,4
76.78,GT-0076,7337.272083824001,10103.355371989674,96.8557693278319,-0.5194593265052276,73.64609524676183,12,0.86,2
76.78,GT-0148,6444.3720076128675,13291.825223067714,65.62151277892217,78.04323504905311,39.6713254763808,14,0.988,4
76.78,GT-0175,6058.768998803142,13618.422790269806,64.47896429725972,77.89518229995645,92.03368329544546,11,0.859,1
77.14,GT-0004,7826.83270751041,9838.130226971994,95.7154034013864,0.3975941637985194,39.93624543141941,14,0.87,4
